query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits
Q9I786	1w3b-assembly1.cif.gz_B	0.159	86	68	0	30	115	1	82	1.045E+00	68
Q9I786	5khu-assembly1.cif.gz_K	0.192	103	67	0	34	117	374	476	3.498E-01	68
Q9I786	5hgv-assembly1.cif.gz_A	0.137	80	62	0	33	112	9	81	1.451E+00	68
Q9I786	3kd7-assembly1.cif.gz_A	0.149	85	69	0	31	115	5	86	1.166E+00	67
Q9I786	3fwv-assembly2.cif.gz_B	0.137	80	62	0	39	111	48	127	6.385E-01	67
Q9I786	4am9-assembly1.cif.gz_A	0.134	84	68	0	32	115	12	91	1.300E+00	67
Q9I786	7obi-assembly2.cif.gz_B	0.175	74	55	0	39	112	47	114	1.373E+00	67
Q9I786	8far-assembly1.cif.gz_A	0.180	72	53	0	41	112	48	113	1.166E+00	67
Q9I786	4ga1-assembly1.cif.gz_A	0.163	108	79	0	5	112	7	101	7.123E-01	67
Q9I786	5lfl-assembly6.cif.gz_F	0.195	81	59	0	32	112	10	83	1.166E+00	67
Q9I786	5lfm-assembly6.cif.gz_F	0.160	81	62	0	32	112	9	83	1.231E+00	67
Q9I786	8a5y-assembly1.cif.gz_H	0.157	108	83	0	5	112	405	504	8.866E-01	67
Q9I786	7r5j-assembly1.cif.gz_00	0.163	108	79	0	5	112	6	100	6.385E-01	67
Q9I786	6evp-assembly1.cif.gz_A	0.146	80	67	0	35	114	11	90	1.907E+00	66
Q9I786	4cgv-assembly4.cif.gz_D	0.118	76	61	0	39	114	50	119	1.709E+00	66
Q9I786	4xi0-assembly1.cif.gz_E	0.195	81	60	0	32	112	9	83	1.231E+00	66
Q9I786	5g05-assembly1.cif.gz_K	0.197	90	64	0	35	115	375	464	7.947E-01	66
Q9I786	2xgm-assembly1.cif.gz_A	0.193	85	65	0	33	117	6	86	1.045E+00	66
Q9I786	8fe6-assembly4.cif.gz_G	0.137	80	62	0	33	112	11	83	1.806E+00	66
Q9I786	1tjc-assembly1.cif.gz_B	0.126	83	72	0	31	113	8	90	1.806E+00	65
Q9I786	8f15-assembly3.cif.gz_C	0.129	93	72	0	21	113	1	84	1.166E+00	65
Q9I786	6gxz-assembly2.cif.gz_C	0.184	76	56	0	39	114	44	113	1.373E+00	65
Q9I786	3u4t-assembly2.cif.gz_B	0.109	73	61	0	39	111	42	111	2.374E+00	65
Q9I786	5khu-assembly1.cif.gz_X	0.189	95	66	0	5	99	63	144	2.024E-01	65
Q9I786	5vif-assembly1.cif.gz_A	0.144	69	53	0	44	112	10	72	1.618E+00	65
Q9I786	8fwd-assembly1.cif.gz_2	0.171	76	57	0	40	115	14	83	1.907E+00	64
Q9I786	5fzq-assembly1.cif.gz_B	0.127	84	69	0	33	116	8	87	1.166E+00	64
Q9I786	2nc9-assembly1.cif.gz_A	0.148	76	64	0	39	114	50	125	1.166E+00	64
Q9I786	8fwd-assembly1.cif.gz_1	0.194	72	52	0	41	112	50	115	1.532E+00	64
Q9I786	2dba-assembly1.cif.gz_A	0.159	111	87	0	7	117	44	147	7.123E-01	64
Q9I786	5jjt-assembly1.cif.gz_A	0.171	76	55	0	40	115	49	115	1.166E+00	64
Q9I786	7qe7-assembly1.cif.gz_K	0.204	87	61	0	34	111	387	473	1.103E+00	64
Q9I786	4gyw-assembly2.cif.gz_A	0.137	80	62	0	33	112	9	81	2.014E+00	64
Q9I786	4gz5-assembly1.cif.gz_A	0.137	80	62	0	33	112	10	82	2.014E+00	64
Q9I786	7vop-assembly1.cif.gz_W	0.133	112	88	0	1	112	1	103	9.364E-01	64
Q9I786	6nd1-assembly1.cif.gz_F	0.148	81	63	0	33	113	10	84	2.014E+00	63
Q9I786	5lyp-assembly1.cif.gz_A	0.154	82	66	0	34	115	16	94	1.806E+00	63
Q9I786	6gxz-assembly1.cif.gz_A	0.184	76	56	0	39	114	44	113	1.618E+00	63
Q9I786	4j0u-assembly1.cif.gz_A	0.238	67	48	0	47	113	407	470	1.166E+00	63
Q9I786	6tlj-assembly1.cif.gz_P	0.184	76	56	0	37	112	336	405	1.806E+00	63
Q9I786	4ui9-assembly1.cif.gz_K	0.172	109	84	0	6	114	389	490	9.891E-01	63
Q9I786	3ma5-assembly3.cif.gz_C	0.180	83	62	0	33	115	6	81	8.866E-01	62
Q9I786	6evl-assembly1.cif.gz_A	0.146	80	67	0	35	114	11	90	2.507E+00	62
Q9I786	6i57-assembly1.cif.gz_A	0.114	94	78	0	22	115	1	89	1.231E+00	62
Q9I786	7e6j-assembly1.cif.gz_A	0.152	83	66	0	32	114	95	173	1.709E+00	62
Q9I786	2gw1-assembly1.cif.gz_B	0.152	86	71	0	30	115	1	85	1.231E+00	62
Q9I786	5khu-assembly1.cif.gz_J	0.171	76	57	0	37	112	424	493	1.709E+00	62
Q9I786	4ay5-assembly2.cif.gz_B	0.137	80	62	0	33	112	11	83	2.247E+00	62
Q9I786	8fe7-assembly4.cif.gz_G	0.147	92	70	0	21	112	1	83	1.451E+00	62
Q9I786	8qca-assembly1.cif.gz_B	0.135	74	58	0	39	112	51	118	1.806E+00	62
Q9I786	4cgv-assembly3.cif.gz_C	0.126	92	77	0	24	115	1	89	1.451E+00	61
Q9I786	1a17-assembly1.cif.gz_A	0.166	82	65	0	34	115	15	93	2.128E+00	61
Q9I786	8tau-assembly1.cif.gz_V	0.176	82	66	0	34	114	451	532	1.806E+00	61
Q9I786	5lvv-assembly1.cif.gz_A	0.150	94	78	0	21	114	13	105	1.231E+00	61
Q9I786	7ntf-assembly1.cif.gz_B	0.134	82	64	0	33	114	142	216	2.247E+00	61
Q9I786	7axy-assembly1.cif.gz_B	0.120	108	86	0	6	113	2	100	1.373E+00	60
Q9I786	3hym-assembly10.cif.gz_H	0.204	87	61	0	34	111	181	267	1.532E+00	60
Q9I786	5tqb-assembly1.cif.gz_B	0.164	67	54	0	33	99	9	73	2.797E+00	60
Q9I786	3sf4-assembly3.cif.gz_C	0.200	79	58	0	39	112	225	303	2.247E+00	60
Q9I786	3fp4-assembly1.cif.gz_A	0.130	82	67	0	33	114	24	101	1.907E+00	60
Q9I786	2vsn-assembly1.cif.gz_A	0.174	109	77	0	5	113	8	101	9.891E-01	60
Q9I786	7qdz-assembly1.cif.gz_B	0.201	114	81	0	1	114	122	224	1.532E+00	60
Q9I786	4uqy-assembly1.cif.gz_A	0.116	77	63	0	37	113	3	74	2.797E+00	59
Q9I786	1ihg-assembly1.cif.gz_A	0.140	70	58	0	45	114	284	351	1.451E+00	59
Q9I786	4ui9-assembly1.cif.gz_P	0.192	76	56	0	37	112	336	405	2.014E+00	59
Q9I786	8dth-assembly1.cif.gz_B	0.166	82	64	0	33	114	12	89	1.806E+00	59
Q9I786	6af0-assembly1.cif.gz_A	0.164	73	57	0	40	112	199	267	2.128E+00	59
Q9I786	5l0y-assembly5.cif.gz_H	0.095	83	71	0	33	112	11	93	2.648E+00	58
Q9I786	4eqf-assembly1.cif.gz_A	0.176	68	52	0	45	112	122	185	2.247E+00	58
Q9I786	4g2v-assembly1.cif.gz_A	0.183	86	65	0	35	115	219	304	3.296E+00	58
Q9I786	1w3b-assembly1.cif.gz_A	0.135	74	58	0	39	112	43	110	2.014E+00	58
Q9I786	8cm9-assembly2.cif.gz_B	0.138	72	56	0	41	112	18	83	2.648E+00	58
Q9I786	4cgw-assembly2.cif.gz_B	0.159	83	66	0	37	115	18	100	9.364E-01	57
Q9I786	6hpg-assembly4.cif.gz_D	0.152	72	55	0	45	116	56	121	2.374E+00	57
Q9I786	5l0y-assembly6.cif.gz_F	0.086	87	72	0	33	112	9	95	2.128E+00	57
Q9I786	5l0y-assembly1.cif.gz_A	0.115	93	73	0	33	115	14	106	1.709E+00	57
Q9I786	3as4-assembly1.cif.gz_A	0.139	77	63	0	39	115	82	155	1.709E+00	57
Q9I786	6tnt-assembly1.cif.gz_J	0.178	109	83	0	6	114	394	495	1.618E+00	57
Q9I786	7kzv-assembly1.cif.gz_H	0.126	81	64	0	39	112	417	497	1.709E+00	57
Q9I786	6ibo-assembly1.cif.gz_A	0.137	80	62	0	33	112	8	80	3.296E+00	57
Q9I786	4xif-assembly4.cif.gz_D	0.148	54	41	0	46	99	91	139	1.618E+00	57
Q9I786	6q3q-assembly1.cif.gz_B	0.138	72	56	0	45	116	56	121	2.797E+00	56
Q9I786	3asd-assembly1.cif.gz_A	0.130	111	92	0	5	115	14	120	1.231E+00	56
Q9I786	5l0y-assembly2.cif.gz_B	0.090	87	72	0	33	112	14	100	2.797E+00	56
Q9I786	2j9q-assembly1.cif.gz_A	0.185	69	55	0	47	115	132	200	2.247E+00	56
Q9I786	7qe7-assembly1.cif.gz_P	0.121	74	59	0	39	112	372	439	3.120E+00	56
Q9I786	6tnt-assembly1.cif.gz_Y	0.136	108	88	0	5	112	20	122	1.231E+00	56
Q9I786	5dse-assembly1.cif.gz_A	0.208	72	51	0	45	116	149	214	2.507E+00	56
Q9I786	8hmc-assembly1.cif.gz_C	0.160	81	61	0	32	112	9	82	2.128E+00	56
Q9I786	5bnw-assembly1.cif.gz_A	0.133	73	62	0	44	115	49	121	1.806E+00	56
Q9I786	2kc7-assembly1.cif.gz_A	0.205	66	51	0	46	110	17	82	1.103E+00	55
Q9I786	8cus-assembly1.cif.gz_A	0.190	79	60	0	41	115	48	126	1.103E+00	55
Q9I786	3ks2-assembly1.cif.gz_A	0.135	97	82	0	17	113	2	97	2.014E+00	55
Q9I786	5ljo-assembly1.cif.gz_D	0.126	93	78	0	20	112	1	90	3.296E+00	55
Q9I786	7ai4-assembly2.cif.gz_B	0.139	92	71	0	32	114	9	100	2.374E+00	55
Q9I786	5jhe-assembly1.cif.gz_A-2	0.126	74	62	0	40	113	305	376	2.954E+00	55
Q9I786	6xt9-assembly1.cif.gz_D	0.135	74	58	0	39	112	253	320	3.296E+00	55
Q9I786	2xpi-assembly1.cif.gz_D	0.137	109	88	0	5	113	381	483	1.806E+00	55
Q9I786	6tka-assembly1.cif.gz_AAA	0.148	54	41	0	46	99	91	139	2.128E+00	55
Q9I786	8hmd-assembly1.cif.gz_C	0.145	108	87	0	5	112	674	776	1.231E+00	55
Q9I786	6fdp-assembly1.cif.gz_A	0.153	86	69	0	34	115	11	96	1.373E+00	54
Q9I786	2bug-assembly1.cif.gz_A	0.144	82	61	0	33	114	54	125	1.451E+00	54
Q9I786	3ash-assembly2.cif.gz_B	0.142	114	88	0	2	115	54	157	1.103E+00	54
Q9I786	4bt8-assembly1.cif.gz_B	0.121	122	95	0	5	113	106	227	1.045E+00	54
Q9I786	4gyw-assembly1.cif.gz_C	0.135	59	46	0	41	99	62	115	2.507E+00	54
Q9I786	5hgv-assembly2.cif.gz_C	0.135	59	46	0	41	99	62	115	2.507E+00	54
Q9I786	2kat-assembly1.cif.gz_A	0.135	113	88	0	1	113	1	103	2.247E+00	53
Q9I786	4apo-assembly1.cif.gz_A	0.125	111	96	0	6	116	32	142	1.709E+00	53
Q9I786	3gw4-assembly1.cif.gz_A	0.158	116	89	0	6	112	75	190	2.797E+00	53
Q9I786	2c2l-assembly3.cif.gz_C	0.150	80	62	0	34	113	9	82	4.102E+00	53
Q9I786	3r9a-assembly1.cif.gz_B	0.235	67	47	0	46	112	117	179	1.300E+00	53
Q9I786	5a01-assembly3.cif.gz_C	0.135	59	46	0	41	99	87	140	2.648E+00	53
Q9I786	6fdt-assembly1.cif.gz_A	0.152	87	70	0	33	115	10	96	1.709E+00	52
Q9I786	7azv-assembly1.cif.gz_B	0.123	110	88	0	6	115	2	102	2.374E+00	52
Q9I786	2q7f-assembly2.cif.gz_B	0.148	74	57	0	39	112	60	127	3.677E+00	52
Q9I786	2j9q-assembly1.cif.gz_B	0.176	68	52	0	48	115	101	164	3.481E+00	52
Q9I786	6y4l-assembly1.cif.gz_A	0.164	91	72	0	28	114	1	91	2.648E+00	52
Q9I786	7ado-assembly1.cif.gz_B	0.146	89	73	0	28	113	1	89	2.954E+00	52
Q9I786	2c0l-assembly1.cif.gz_A	0.230	65	43	0	48	112	124	180	1.806E+00	52
Q9I786	3cv0-assembly1.cif.gz_A	0.211	71	50	0	45	115	134	198	3.884E+00	52
Q9I786	5a6c-assembly2.cif.gz_A	0.188	84	61	0	40	115	229	312	4.102E+00	52
Q9I786	5l9u-assembly1.cif.gz_X	0.146	118	93	0	5	114	7	124	1.373E+00	52
Q9I786	6q6h-assembly1.cif.gz_Z	0.118	112	97	0	1	112	14	124	1.618E+00	52
Q9I786	7y4i-assembly1.cif.gz_B	0.178	98	73	0	18	115	4	93	1.532E+00	52
Q9I786	5mc6-assembly1.cif.gz_i	0.150	73	56	0	40	112	646	712	2.954E+00	52
Q9I786	4j8e-assembly1.cif.gz_A	0.120	102	81	0	22	114	1	102	2.507E+00	51
Q9I786	4gco-assembly1.cif.gz_A	0.106	87	77	0	27	113	2	88	2.797E+00	51
Q9I786	5l0w-assembly1.cif.gz_B	0.129	130	93	0	5	112	34	163	1.709E+00	51
Q9I786	6b85-assembly1.cif.gz_J	0.178	79	61	0	41	115	126	204	2.247E+00	51
Q9I786	6swu-assembly3.cif.gz_E	0.148	73	60	0	32	102	8	80	3.120E+00	51
Q9I786	6hft-assembly1.cif.gz_A	0.094	82	72	0	31	112	12	91	3.884E+00	51
Q9I786	6hc2-assembly4.cif.gz_S	0.192	82	61	0	39	115	241	322	4.333E+00	51
Q9I786	5a31-assembly1.cif.gz_C	0.177	79	59	0	37	115	348	420	4.102E+00	51
Q9I786	4reb-assembly1.cif.gz_A	0.136	147	88	0	10	112	158	304	1.618E+00	51
Q9I786	5nnr-assembly2.cif.gz_D	0.144	108	89	0	7	114	159	263	2.014E+00	51
Q9I786	6q4m-assembly1.cif.gz_A	0.133	73	62	0	44	115	49	121	2.954E+00	51
Q9I786	8j8p-assembly1.cif.gz_C	0.090	108	90	0	5	112	161	260	2.014E+00	51
Q9I786	2vgy-assembly1.cif.gz_A-2	0.147	87	71	0	32	115	12	98	2.247E+00	50
Q9I786	7o6s-assembly1.cif.gz_A	0.133	84	68	0	32	115	26	105	3.481E+00	50
Q9I786	3gz2-assembly1.cif.gz_B	0.136	84	68	0	32	115	32	111	3.120E+00	50
Q9I786	5l0y-assembly7.cif.gz_G	0.113	87	70	0	33	112	14	100	3.296E+00	50
Q9I786	4nrh-assembly2.cif.gz_B	0.113	106	87	0	14	112	26	131	2.374E+00	50
Q9I786	4btb-assembly1.cif.gz_A	0.122	118	94	0	6	113	110	227	3.481E+00	50
Q9I786	6swu-assembly2.cif.gz_D	0.148	73	60	0	32	102	9	81	3.296E+00	50
Q9I786	3pz1-assembly1.cif.gz_A	0.211	71	51	0	47	112	223	293	1.907E+00	50
Q9I786	3hxd-assembly1.cif.gz_A	0.211	71	51	0	47	112	226	296	1.907E+00	50
Q9I786	6tnt-assembly1.cif.gz_C	0.180	108	74	0	7	114	432	522	2.507E+00	50
Q9I786	7qe7-assembly1.cif.gz_V	0.177	79	59	0	37	115	350	422	4.333E+00	50
Q9I786	8ebf-assembly1.cif.gz_A	0.255	43	31	0	70	112	350	391	6.712E+00	50
Q9I786	5nps-assembly1.cif.gz_A	0.135	72	61	0	45	115	50	121	3.120E+00	50
Q9I786	8dtg-assembly1.cif.gz_A	0.176	82	63	0	33	114	113	190	3.677E+00	50
Q9I786	4buj-assembly2.cif.gz_F	0.151	79	60	0	34	112	630	701	5.106E+00	50
Q9I786	1elw-assembly1.cif.gz_A	0.092	76	63	0	39	114	47	116	3.481E+00	49
Q9I786	4ymr-assembly1.cif.gz_B	0.102	68	58	0	32	99	5	70	5.106E+00	49
Q9I786	5l0y-assembly3.cif.gz_C	0.102	87	71	0	33	112	14	100	4.834E+00	49
Q9I786	3asf-assembly1.cif.gz_A	0.150	111	88	0	5	115	55	159	1.103E+00	49
Q9I786	4y6w-assembly1.cif.gz_A-2	0.168	100	74	0	23	112	1	100	3.120E+00	49
Q9I786	3edt-assembly1.cif.gz_B	0.186	124	92	0	2	115	7	130	1.451E+00	49
Q9I786	4kyo-assembly1.cif.gz_D	0.183	70	56	0	46	115	117	186	3.884E+00	49
Q9I786	4kxk-assembly1.cif.gz_D	0.194	111	80	0	5	115	87	186	1.373E+00	49
Q9I786	5hi7-assembly1.cif.gz_A	0.118	124	98	0	3	114	298	421	2.128E+00	49
Q9I786	5w5i-assembly1.cif.gz_C	0.200	89	62	0	39	117	236	324	2.014E+00	49
Q9I786	2xpi-assembly1.cif.gz_A	0.196	106	76	0	7	112	423	518	2.954E+00	49
Q9I786	8cm9-assembly3.cif.gz_C	0.148	54	41	0	46	99	91	139	3.120E+00	49
Q9I786	4xpd-assembly1.cif.gz_A	0.160	107	88	0	8	114	155	260	2.247E+00	49
Q9I786	3ffl-assembly2.cif.gz_B	0.117	108	89	0	6	113	24	125	3.120E+00	48
Q9I786	7b1u-assembly1.cif.gz_A	0.148	69	57	0	39	106	57	125	2.648E+00	48
Q9I786	7ayw-assembly1.cif.gz_A	0.127	108	87	0	6	113	2	102	3.677E+00	48
Q9I786	3gz1-assembly1.cif.gz_A	0.131	95	78	0	3	97	2	92	1.806E+00	48
Q9I786	2fbn-assembly1.cif.gz_B	0.084	94	74	0	31	112	14	107	4.102E+00	48
Q9I786	4y6c-assembly1.cif.gz_A-2	0.138	101	78	0	22	112	1	101	3.884E+00	48
Q9I786	2ho1-assembly1.cif.gz_A	0.246	75	56	0	40	114	86	160	2.374E+00	48
Q9I786	7ai4-assembly1.cif.gz_A	0.157	76	61	0	29	101	6	81	4.102E+00	48
Q9I786	6fv0-assembly1.cif.gz_A	0.145	95	70	0	33	115	5	99	4.333E+00	48
Q9I786	7kw7-assembly1.cif.gz_E	0.139	76	65	0	39	114	53	128	4.577E+00	48
Q9I786	3sf4-assembly2.cif.gz_B	0.156	81	62	0	39	113	261	341	4.577E+00	48
Q9I786	6q9i-assembly1.cif.gz_A	0.137	96	78	0	4	99	66	156	2.247E+00	48
Q9I786	4hnw-assembly1.cif.gz_A	0.153	107	89	0	8	114	165	270	2.954E+00	48
Q9I786	1elw-assembly2.cif.gz_B	0.076	86	75	0	34	115	9	94	3.677E+00	47
Q9I786	3asg-assembly1.cif.gz_A	0.167	123	96	0	2	117	52	174	1.373E+00	47
Q9I786	7v1l-assembly1.cif.gz_B-2	0.160	78	62	0	40	114	103	180	3.120E+00	47
Q9I786	3ceq-assembly1.cif.gz_A	0.169	128	95	0	1	115	2	129	2.128E+00	47
Q9I786	6swu-assembly3.cif.gz_F	0.148	73	60	0	32	102	9	81	4.577E+00	47
Q9I786	3pz2-assembly1.cif.gz_A	0.172	126	91	0	2	112	161	286	8.866E-01	47
Q9I786	2c0m-assembly4.cif.gz_F	0.146	109	73	0	7	115	111	197	2.128E+00	47
Q9I786	6hc2-assembly2.cif.gz_G	0.192	82	61	0	39	115	246	327	6.017E+00	47
Q9I786	6vnw-assembly1.cif.gz_E	0.162	74	55	0	39	112	80	146	5.106E+00	47
Q9I786	5nnp-assembly2.cif.gz_E	0.137	106	88	0	7	112	156	258	2.507E+00	47
Q9I786	4hny-assembly2.cif.gz_C	0.166	110	90	0	5	114	129	237	2.797E+00	47
Q9I786	2n8i-assembly1.cif.gz_A	0.186	82	58	0	44	115	3	84	4.333E+00	46
Q9I786	4h7y-assembly4.cif.gz_D	0.130	113	95	0	1	113	21	130	3.120E+00	46
Q9I786	6ejn-assembly1.cif.gz_A	0.141	91	70	0	33	114	13	103	4.834E+00	46
Q9I786	3hxe-assembly1.cif.gz_A	0.211	71	51	0	47	112	224	294	2.797E+00	46
Q9I786	6cby-assembly2.cif.gz_B	0.090	96	75	0	33	115	288	383	4.834E+00	46
Q9I786	6tlj-assembly1.cif.gz_H	0.116	74	59	0	39	112	361	428	4.102E+00	46
Q9I786	4cgw-assembly1.cif.gz_A	0.180	106	70	0	30	115	1	106	1.709E+00	45
Q9I786	5wft-assembly1.cif.gz_A	0.130	115	93	0	10	117	4	118	6.385E-01	45
Q9I786	3rkv-assembly1.cif.gz_A	0.159	92	67	0	33	113	9	100	5.696E+00	45
Q9I786	1pc2-assembly1.cif.gz_A	0.126	69	56	0	46	114	52	116	7.489E+00	45
Q9I786	7v1m-assembly2.cif.gz_G	0.162	85	63	0	40	115	104	188	3.481E+00	45
Q9I786	2yq8-assembly1.cif.gz_A	0.118	123	99	0	1	113	98	220	5.393E+00	45
Q9I786	4kyo-assembly1.cif.gz_B	0.178	111	81	0	5	115	87	186	2.128E+00	45
Q9I786	3cvn-assembly1.cif.gz_A	0.211	71	50	0	45	115	132	196	6.355E+00	45
Q9I786	8h77-assembly1.cif.gz_F	0.111	109	96	0	6	114	183	291	2.954E+00	45
Q9I786	1kt1-assembly1.cif.gz_A	0.133	73	60	0	39	111	280	349	5.696E+00	45
Q9I786	2y4u-assembly1.cif.gz_A	0.104	105	77	0	8	112	114	200	4.333E+00	45
Q9I786	5a31-assembly1.cif.gz_Y	0.140	111	93	0	5	115	20	128	2.648E+00	45
Q9I786	5nnp-assembly1.cif.gz_A	0.140	110	91	0	7	116	156	262	3.120E+00	45
Q9I786	5lwv-assembly1.cif.gz_A	0.151	81	68	0	19	99	6	86	3.677E+00	45
Q9I786	2v1s-assembly1.cif.gz_A	0.170	41	33	0	71	111	13	53	6.355E+00	44
Q9I786	4yvo-assembly1.cif.gz_A	0.115	101	75	0	30	115	1	101	3.884E+00	44
Q9I786	7yka-assembly1.cif.gz_B	0.142	108	88	0	5	112	14	116	3.120E+00	44
Q9I786	7v1k-assembly1.cif.gz_A-2	0.160	78	62	0	40	114	109	186	4.102E+00	44
Q9I786	2yq8-assembly1.cif.gz_B	0.137	117	93	0	5	113	105	221	3.884E+00	44
Q9I786	3edt-assembly3.cif.gz_H	0.163	117	93	0	1	112	3	119	2.374E+00	44
